#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
58369;20/02/2026 19:13:37;IRP_MJ_WRITE;UP;STATUS_SUCCESS;92 39 bf ec 14 7f 5c 01 96 2b bf e9 11 80 bf 01 dd 2b bf b3 f2 7f 34 f2 96 43 4c ec 7c 8c 5c 69 65 2b d7 1f 14 17 af 01 fe d8 bf 84 e7 7f 34 f2 96 43 4c ec 7c 8c 5c 69 65 2b d7 1f 14 1b b6 01 fe d8 bf 89 ff 7f 35 ed 96 41 52 ec 74 95 5c 6a 66 54 19 36 52 f4 bc 47 1e f5 f9 64 ca 91 b2 ef 78 c5 51 35 f4 97 de ba 4b 8e 75 0c b1 b5 bc a4 5c cb 1a 26 f4 da 96 e1 31 e0 5e 49 dc 9f 62 7c 59 0a ee 7c 1f 74 57 00 97 2a bf ec 14 7f 5c 01 96 2b bf ec 14 7f 5c 01 96 2b bf ec 14 7f 5c 01 96 2b bf ec 14 7f 5c 01 96 2b bf ec 14 7f 5c 01 96 2b bf ec 06 6d 4e 27 b0 0d 9c cf 37 52 71 2c bc 01 95 c9 31 5a 79 24 b3 06 fa d5 14 e9 ed 3f 12 e4 0e 56 d1 ce e7 c7 26 91 7a 5c ae ba ec bb 53 9b 05 29 a4 c5 99 a9 2e ee 6e 35 f6 96 b5 e8 7f c2 56 ;"í9øÏ.\.ñ+øÈ.Äø.›+ø≥Ú4ÚñCLÏ|å\ie+◊...Ø.˛ÿøÑÁ4ÚñCLÏ|å\ie+◊...∂.˛ÿøâˇ5ÌñARÏtï\jfT.6RÙºG.ı˘d ë≤Ôx≈Q5Ùóﬁ∫Kéu.±µº§\À.&Ù⁄ñ·1‡^I‹üb|Y.Ó|.tW.ó*øÏ.\.ñ+øÏ.\.ñ+øÏ.\.ñ+øÏ.\.ñ+øÏ.\.ñ+øÏ.mN'∞.úœ7Rq,º.ï…1Zy$≥.˙’.ÈÌ?.‰.V—ŒÁ«&ëz\Æ∫ÏªSõ.)§≈ô©.Ón5ˆñµË¬V";243;;COM7;;
58370;20/02/2026 19:13:37;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
58371;20/02/2026 19:13:37;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
58372;20/02/2026 19:13:37;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
58373;20/02/2026 19:13:37;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
58374;20/02/2026 19:13:37;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
58375;20/02/2026 19:13:37;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
58376;20/02/2026 19:13:37;IRP_MJ_WRITE;DOWN;;55 aa 5a f1 00 ;"U™ZÒ.";5;5;COM7;;
58377;20/02/2026 19:13:37;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a f1 00 ;"U™ZÒ.";5;;COM7;;
58378;20/02/2026 19:13:37;IRP_MJ_WRITE;DOWN;;d2 37 2d 1c d1 05 ac 3d 2d 19 d4 fa 4f 3d 66 1c d1 5a 4a 3d 45 ef d1 6d 5f 3d 45 ef d1 6d 5f 3d 45 ef d1 6d 5f 3d 45 ef d1 6d 5f 3d 45 ef d1 6d 5f 3d 45 ef d1 6d 5f 3d 45 ef d1 61 46 3d 45 ef d1 60 47 3d 44 f0 d1 6f 41 3d 4d f6 d1 6e 5c 42 8b c6 97 8e 4c 7b a5 c2 97 8d 72 d3 c3 f2 3f eb 42 e4 cd f4 53 be 71 98 e7 fc 74 cf 4c 98 e7 fc 74 cf 4c 98 e7 fc 76 ce 4d 98 e5 fc ef 78 63 1c 7c 8c da 0e a7 3c 2c 1d d1 05 ac 3d 2d 1c d1 05 ac 3d 2d 1c d1 05 ac 3d 2d 1c d1 05 ac 3d 2d 1c d1 05 ac 3d 2d 1c d1 05 ac 3d 2d 1c d1 05 ac 3d 2d 1c c3 17 be 1b 0b 3a f2 26 8f 10 00 31 fb 2f 86 18 08 39 f4 20 89 10 68 25 d1 93 1d 03 a9 d3 60 bf 69 8c 96 da 61 bf 69 8d 97 d9 61 bf 69 8d 97 d9 61 bf 69 95 95 d9 00 dc 4e d4 c4 f5 38 ec 45 ;"“7-.—.¨=-.‘˙O=f.—ZJ=EÔ—m_=EÔ—m_=EÔ—m_=EÔ—m_=EÔ—m_=EÔ—m_=EÔ—aF=EÔ—`G=D—oA=Mˆ—n\Bã∆óéL{•¬óçr”√Ú?ÎB‰ÕÙSæqòÁ¸tœLòÁ¸tœLòÁ¸vŒMòÂ¸Ôxc.|å⁄.ß<,.—.¨=-.—.¨=-.—.¨=-.—.¨=-.—.¨=-.—.¨=-.—.¨=-.√.æ..:Ú&è..1˚/Ü..9Ù â.h%—ì..©”`øiåñ⁄aøiçóŸaøiçóŸaøiïïŸ.‹N‘ƒı8ÏE";241;241;COM7;;
