#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
68164;20/02/2026 20:35:32;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
68165;20/02/2026 20:35:32;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
68166;20/02/2026 20:35:32;IRP_MJ_WRITE;DOWN;;55 aa 5a f0 00 ;"UªZð.";5;5;COM7;;
68167;20/02/2026 20:35:32;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a f0 00 ;"UªZð.";5;;COM7;;
68168;20/02/2026 20:35:32;IRP_MJ_WRITE;DOWN;;0e 34 69 32 a3 66 5e 69 37 a6 99 bd 69 79 a3 66 01 8f 32 cb 95 5e 01 c1 a3 0e ad 69 5a 50 66 36 9a 32 cb 95 5e 01 c1 a3 0e ad 69 5a 50 66 36 9a 32 cb 95 5e 01 c1 a3 0e ad 69 56 49 66 36 9a 32 c6 8d 5e 00 de a3 0c b3 69 52 49 66 35 99 4d 05 bc 18 e2 d2 e5 ee 80 2f ba 7d 88 b0 87 dc 4d 88 87 89 da e5 c7 84 ed 8a 7d e2 e6 b7 b6 1b b8 da d1 ec 27 de 80 ec 85 7d e2 e6 b7 32 fe b7 7f 38 a2 a8 6d 55 68 33 a2 66 5e 69 32 a3 66 5e 69 32 a3 66 5e 69 32 a3 66 5e 69 32 a3 66 5e 69 32 a3 66 5e 69 32 a3 66 5e 69 32 a3 66 5e 69 32 a3 66 5e 7b 20 b1 40 78 4f 11 80 45 73 44 1f 89 4c 74 4c 17 86 43 7b 4c 1f e6 5f 5e ff 83 9d e2 91 d8 88 66 d7 e5 af 82 19 a3 ee d3 f7 13 dc 9b d9 88 66 d6 e4 ac 9a 1b a3 8f b0 d0 4a 8f b7 80 db 4a ;".4i2£f^i7¦™½iy£f.2Ë•^.Á£.­iZPf6š2Ë•^.Á£.­iZPf6š2Ë•^.Á£.­iVIf6š2Æ^.Þ£.³iRIf5™M.¼.âÒåî€/º}ˆ°‡ÜMˆ‡‰ÚåÇ„íŠ}âæ·¶.¸ÚÑì'Þ€ì…}âæ·2þ·8¢¨mUh3¢f^i2£f^i2£f^i2£f^i2£f^i2£f^i2£f^i2£f^i2£f^{ ±@xO.€EsD.‰LtL.†C{L.æ_^ÿƒâ‘Øˆf×å¯‚.£îÓ÷.Ü›ÙˆfÖä¬š.£°ÐJ·€ÛJ";240;240;COM7;;
68169;20/02/2026 20:35:32;IRP_MJ_WRITE;UP;STATUS_SUCCESS;0e 34 69 32 a3 66 5e 69 37 a6 99 bd 69 79 a3 66 01 8f 32 cb 95 5e 01 c1 a3 0e ad 69 5a 50 66 36 9a 32 cb 95 5e 01 c1 a3 0e ad 69 5a 50 66 36 9a 32 cb 95 5e 01 c1 a3 0e ad 69 56 49 66 36 9a 32 c6 8d 5e 00 de a3 0c b3 69 52 49 66 35 99 4d 05 bc 18 e2 d2 e5 ee 80 2f ba 7d 88 b0 87 dc 4d 88 87 89 da e5 c7 84 ed 8a 7d e2 e6 b7 b6 1b b8 da d1 ec 27 de 80 ec 85 7d e2 e6 b7 32 fe b7 7f 38 a2 a8 6d 55 68 33 a2 66 5e 69 32 a3 66 5e 69 32 a3 66 5e 69 32 a3 66 5e 69 32 a3 66 5e 69 32 a3 66 5e 69 32 a3 66 5e 69 32 a3 66 5e 69 32 a3 66 5e 7b 20 b1 40 78 4f 11 80 45 73 44 1f 89 4c 74 4c 17 86 43 7b 4c 1f e6 5f 5e ff 83 9d e2 91 d8 88 66 d7 e5 af 82 19 a3 ee d3 f7 13 dc 9b d9 88 66 d6 e4 ac 9a 1b a3 8f b0 d0 4a 8f b7 80 db 4a ;".4i2£f^i7¦™½iy£f.2Ë•^.Á£.­iZPf6š2Ë•^.Á£.­iZPf6š2Ë•^.Á£.­iVIf6š2Æ^.Þ£.³iRIf5™M.¼.âÒåî€/º}ˆ°‡ÜMˆ‡‰ÚåÇ„íŠ}âæ·¶.¸ÚÑì'Þ€ì…}âæ·2þ·8¢¨mUh3¢f^i2£f^i2£f^i2£f^i2£f^i2£f^i2£f^i2£f^i2£f^{ ±@xO.€EsD.‰LtL.†C{L.æ_^ÿƒâ‘Øˆf×å¯‚.£îÓ÷.Ü›ÙˆfÖä¬š.£°ÐJ·€ÛJ";240;;COM7;;
68170;20/02/2026 20:35:32;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
68171;20/02/2026 20:35:32;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
68172;20/02/2026 20:35:32;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
68173;20/02/2026 20:35:32;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
68174;20/02/2026 20:35:32;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
68175;20/02/2026 20:35:32;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
68176;20/02/2026 20:35:32;IRP_MJ_WRITE;DOWN;;55 aa 5a f3 00 ;"UªZó.";5;5;COM7;;
68177;20/02/2026 20:35:32;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a f3 00 ;"UªZó.";5;;COM7;;
68178;20/02/2026 20:35:32;IRP_MJ_WRITE;DOWN;;65 39 ce 6a 07 f9 ff c6 bd c5 ce 6f 02 06 1c c6 f6 c5 ce 35 e1 f9 97 35 bd ad 3d 6a 6f 0a ff ae 4e c5 a6 99 07 91 0c c6 d5 36 ce 02 f4 f9 97 35 bd ad 3d 6a 6f 0a ff ae 4e c5 a6 99 07 9d 15 c6 d5 36 ce 0f ec f9 96 2a bd af 23 6a 67 13 ff ad 4d ba 68 b0 41 72 1f 80 35 1b 88 e2 d9 17 11 28 53 2b 20 b3 e7 11 b9 67 67 41 76 b4 83 41 21 42 05 1b 4a d2 d9 7d 47 18 38 72 10 ee bf 27 ff 9b 6c e4 9f fa 0c f2 f4 c7 bc c4 ce 6a 07 f9 ff c6 bd c5 ce 6a 07 f9 ff c6 bd c5 ce 6a 07 f9 ff c6 bd c5 ce 6a 07 f9 ff c6 bd c5 ce 6a 07 f9 ff c6 bd c5 ce 6a 15 eb ed e0 9b e3 ed 49 24 d4 d2 eb 97 ef e4 4f 22 dc da e3 98 e8 8b 53 07 6f 4e f8 39 0a 7f d0 c2 48 44 00 0d 7f 0b da bd 3c 4f 7c 78 75 74 af b7 43 3a 6e 05 00 1f b3 e5 10 16 2f 54 2c 27 ;"e9Îj.ùÿÆ½ÅÎo...ÆöÅÎ5áù—5½­=jo.ÿ®NÅ¦™.‘.ÆÕ6Î.ôù—5½­=jo.ÿ®NÅ¦™..ÆÕ6Î.ìù–*½¯#jg.ÿ­Mºh°Ar.€5.ˆâÙ..(S+ ³ç.¹ggAv´ƒA!B..JÒÙ}G.8r.î¿'ÿ›läŸú.òôÇ¼ÄÎj.ùÿÆ½ÅÎj.ùÿÆ½ÅÎj.ùÿÆ½ÅÎj.ùÿÆ½ÅÎj.ùÿÆ½ÅÎj.ëíà›ãíI$ÔÒë—ïäO""ÜÚã˜è‹S.oNø9.ÐÂHD...Ú½<O|xut¯·C:n...³å../T,'";243;243;COM7;;
68179;20/02/2026 20:35:32;IRP_MJ_WRITE;UP;STATUS_SUCCESS;65 39 ce 6a 07 f9 ff c6 bd c5 ce 6f 02 06 1c c6 f6 c5 ce 35 e1 f9 97 35 bd ad 3d 6a 6f 0a ff ae 4e c5 a6 99 07 91 0c c6 d5 36 ce 02 f4 f9 97 35 bd ad 3d 6a 6f 0a ff ae 4e c5 a6 99 07 9d 15 c6 d5 36 ce 0f ec f9 96 2a bd af 23 6a 67 13 ff ad 4d ba 68 b0 41 72 1f 80 35 1b 88 e2 d9 17 11 28 53 2b 20 b3 e7 11 b9 67 67 41 76 b4 83 41 21 42 05 1b 4a d2 d9 7d 47 18 38 72 10 ee bf 27 ff 9b 6c e4 9f fa 0c f2 f4 c7 bc c4 ce 6a 07 f9 ff c6 bd c5 ce 6a 07 f9 ff c6 bd c5 ce 6a 07 f9 ff c6 bd c5 ce 6a 07 f9 ff c6 bd c5 ce 6a 07 f9 ff c6 bd c5 ce 6a 15 eb ed e0 9b e3 ed 49 24 d4 d2 eb 97 ef e4 4f 22 dc da e3 98 e8 8b 53 07 6f 4e f8 39 0a 7f d0 c2 48 44 00 0d 7f 0b da bd 3c 4f 7c 78 75 74 af b7 43 3a 6e 05 00 1f b3 e5 10 16 2f 54 2c 27 ;"e9Îj.ùÿÆ½ÅÎo...ÆöÅÎ5áù—5½­=jo.ÿ®NÅ¦™.‘.ÆÕ6Î.ôù—5½­=jo.ÿ®NÅ¦™..ÆÕ6Î.ìù–*½¯#jg.ÿ­Mºh°Ar.€5.ˆâÙ..(S+ ³ç.¹ggAv´ƒA!B..JÒÙ}G.8r.î¿'ÿ›läŸú.òôÇ¼ÄÎj.ùÿÆ½ÅÎj.ùÿÆ½ÅÎj.ùÿÆ½ÅÎj.ùÿÆ½ÅÎj.ùÿÆ½ÅÎj.ëíà›ãíI$ÔÒë—ïäO""ÜÚã˜è‹S.oNø9.ÐÂHD...Ú½<O|xut¯·C:n...³å../T,'";243;;COM7;;
68180;20/02/2026 20:35:32;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
68181;20/02/2026 20:35:32;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
68182;20/02/2026 20:35:32;IRP_MJ_WRITE;DOWN;;55 aa 5a f0 00 ;"UªZð.";5;5;COM7;;
