#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments
76221;13:53:22;IRP_MJ_CREATE;UP;STATUS_SUCCESS;;C:\Program Files (x86)\Beelight\Beelight V3.0\Beelight.exe;;;COM7;
76223;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_PROPERTIES);UP;STATUS_SUCCESS;40 00 02 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 06 00 00 00 cd 00 00 00 7f 00 00 00 70 6b 06 00 0c 00 01 1f 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;@...........................Í......pk...........@..............;64;;COM7;
76225;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_MODEMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 ;....;4;;COM7;
76227;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;00 c2 01 00 ;.Â..;4;;COM7;
76229;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;...;3;;COM7;
76231;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;00 00 00 00 00 00 ;......;6;;COM7;
76233;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);UP;STATUS_SUCCESS;00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 ;....@...........;16;;COM7;
76235;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;00 c2 01 00 ;.Â..;4;;COM7;
76237;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;...;3;;COM7;
76239;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;00 00 00 00 00 00 ;......;6;;COM7;
