#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
66874;20/02/2026 20:34:57;IRP_MJ_WRITE;DOWN;;e0 32 b4 e2 e1 b4 e7 e4 4b 01 e1 ff e2 e1 eb 04 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 d0 08 e1 dc 11 e1 d1 09 e1 dd 0e e1 de 0f e1 d4 08 e1 df 12 9e 12 38 a7 3f 02 a7 3c 3c a7 3c 3c 0f 5a 0c 0f 5a 0c 38 54 0a a7 15 38 65 0c 3c 65 0c 3c 65 0c 3c 65 0c 3c 65 0c 3c 64 03 3c 65 0c 3c e1 e9 33 c0 e5 72 ea bf e9 e0 b5 e3 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 f3 a6 f0 c7 92 c4 c2 97 c1 cc 99 cf cb 9e c8 c4 91 c7 c4 91 c7 cc f1 db e1 22 53 df 30 2d 50 0e 27 50 0f 24 51 0e 27 51 0e 27 51 0e 27 51 0e 27 51 0e 27 49 0c 27 30 6d 00 08 5d 0b 08 5d 0b ;"‡2¥‚·¥Á‰K.·ˇ‚·Î.·‹.·‹.·‹.·‹.·‹.·‹.·‹.·‹.·‹.·‹.·‹.·‹.·‹.·–.·‹.·—.·›.·ﬁ.·‘.·ﬂ.û.8ß?.ß<<ß<<.Z..Z.8T.ß.8e.<e.<e.<e.<e.<d.<e.<·È3¿ÂrÍøÈ‡µ„·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚Û¶«íƒ¬ó¡ÃôœÀû»ƒë«ƒë«ÃÒ€·""Sﬂ0-P.'P.$Q.'Q.'Q.'Q.'Q.'I.'0m..]..].";238;238;COM7;;
66875;20/02/2026 20:34:57;IRP_MJ_WRITE;UP;STATUS_SUCCESS;e0 32 b4 e2 e1 b4 e7 e4 4b 01 e1 ff e2 e1 eb 04 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 dc 11 e1 d0 08 e1 dc 11 e1 d1 09 e1 dd 0e e1 de 0f e1 d4 08 e1 df 12 9e 12 38 a7 3f 02 a7 3c 3c a7 3c 3c 0f 5a 0c 0f 5a 0c 38 54 0a a7 15 38 65 0c 3c 65 0c 3c 65 0c 3c 65 0c 3c 65 0c 3c 64 03 3c 65 0c 3c e1 e9 33 c0 e5 72 ea bf e9 e0 b5 e3 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 e1 b4 e2 f3 a6 f0 c7 92 c4 c2 97 c1 cc 99 cf cb 9e c8 c4 91 c7 c4 91 c7 cc f1 db e1 22 53 df 30 2d 50 0e 27 50 0f 24 51 0e 27 51 0e 27 51 0e 27 51 0e 27 51 0e 27 49 0c 27 30 6d 00 08 5d 0b 08 5d 0b ;"‡2¥‚·¥Á‰K.·ˇ‚·Î.·‹.·‹.·‹.·‹.·‹.·‹.·‹.·‹.·‹.·‹.·‹.·‹.·‹.·–.·‹.·—.·›.·ﬁ.·‘.·ﬂ.û.8ß?.ß<<ß<<.Z..Z.8T.ß.8e.<e.<e.<e.<e.<d.<e.<·È3¿ÂrÍøÈ‡µ„·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚·¥‚Û¶«íƒ¬ó¡ÃôœÀû»ƒë«ƒë«ÃÒ€·""Sﬂ0-P.'P.$Q.'Q.'Q.'Q.'Q.'I.'0m..]..].";238;;COM7;;
66876;20/02/2026 20:34:57;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
66877;20/02/2026 20:34:57;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
66878;20/02/2026 20:34:57;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
66879;20/02/2026 20:34:57;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
66880;20/02/2026 20:34:57;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
66881;20/02/2026 20:34:57;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
66882;20/02/2026 20:34:57;IRP_MJ_WRITE;DOWN;;55 aa 5a ef 00 ;"U™ZÔ.";5;5;COM7;;
66883;20/02/2026 20:34:57;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a ef 00 ;"U™ZÔ.";5;;COM7;;
