#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
65643;20/02/2026 20:34:08;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
65644;20/02/2026 20:34:08;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
65645;20/02/2026 20:34:08;IRP_MJ_WRITE;DOWN;;55 aa 5a ef 00 ;"U™ZÔ.";5;5;COM7;;
65646;20/02/2026 20:34:08;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a ef 00 ;"U™ZÔ.";5;;COM7;;
65647;20/02/2026 20:34:08;IRP_MJ_WRITE;DOWN;;8d 35 26 e9 82 2e 26 ec 87 d1 c5 e9 c9 2e 26 b6 64 2e 4e 1a 82 46 d5 e9 ea dd 26 81 71 2e 4e 1a 82 46 d5 e9 ea dd 26 81 71 2e 4e 1a 82 46 d5 e9 ea dd 26 81 71 2e 4e 1a 82 4a cf e9 ea dc 26 8e 72 2e 45 01 82 44 cb e9 e7 c5 26 83 6c 51 80 33 82 4e c6 ac 0b f0 63 60 5c c0 c8 07 6c c0 c8 30 62 c6 a4 52 5f 8b ec 09 27 e4 c6 4c 48 ce 83 23 62 8b ec 09 25 e5 c7 4c 4a ce 18 94 4d 0f 77 79 89 25 2d e8 83 2f 26 e9 82 2e 26 e9 82 2e 26 e9 82 2e 26 e9 82 2e 26 e9 82 2e 26 e9 82 2e 26 e9 82 2e 26 e9 82 2e 26 e9 82 2e 26 e9 82 2e 26 e9 90 3c 34 cf a4 08 05 ca a1 03 0b c4 a8 04 0c cc a7 0b 03 cc a7 03 63 d0 82 b8 97 d7 06 e1 97 53 47 9f 9d 2f 32 94 e3 59 38 eb 96 53 47 9e 9c 2c 32 94 e3 41 3a eb f7 30 60 c7 cf 00 6b c7 cf ;"ç5&ÈÇ.&Ïá—≈È….&∂d.N.ÇF’ÈÍ›&Åq.N.ÇF’ÈÍ›&Åq.N.ÇF’ÈÍ›&Åq.N.ÇJœÈÍ‹&ér.E.ÇDÀÈÁ≈&ÉlQÄ3ÇN∆¨.c`\¿».l¿»0b∆§R_ãÏ.'‰∆LHŒÉ#bãÏ.%Â«LJŒ.îM.wyâ%-ËÉ/&ÈÇ.&ÈÇ.&ÈÇ.&ÈÇ.&ÈÇ.&ÈÇ.&ÈÇ.&ÈÇ.&ÈÇ.&ÈÇ.&Èê<4œ§.. °..ƒ®..Ãß..Ãß.c–Ç∏ó◊.·óSGüù/2î„Y8ÎñSGûú,2î„A:Î˜0`«œ.k«œ";239;239;COM7;;
65648;20/02/2026 20:34:08;IRP_MJ_WRITE;UP;STATUS_SUCCESS;8d 35 26 e9 82 2e 26 ec 87 d1 c5 e9 c9 2e 26 b6 64 2e 4e 1a 82 46 d5 e9 ea dd 26 81 71 2e 4e 1a 82 46 d5 e9 ea dd 26 81 71 2e 4e 1a 82 46 d5 e9 ea dd 26 81 71 2e 4e 1a 82 4a cf e9 ea dc 26 8e 72 2e 45 01 82 44 cb e9 e7 c5 26 83 6c 51 80 33 82 4e c6 ac 0b f0 63 60 5c c0 c8 07 6c c0 c8 30 62 c6 a4 52 5f 8b ec 09 27 e4 c6 4c 48 ce 83 23 62 8b ec 09 25 e5 c7 4c 4a ce 18 94 4d 0f 77 79 89 25 2d e8 83 2f 26 e9 82 2e 26 e9 82 2e 26 e9 82 2e 26 e9 82 2e 26 e9 82 2e 26 e9 82 2e 26 e9 82 2e 26 e9 82 2e 26 e9 82 2e 26 e9 82 2e 26 e9 90 3c 34 cf a4 08 05 ca a1 03 0b c4 a8 04 0c cc a7 0b 03 cc a7 03 63 d0 82 b8 97 d7 06 e1 97 53 47 9f 9d 2f 32 94 e3 59 38 eb 96 53 47 9e 9c 2c 32 94 e3 41 3a eb f7 30 60 c7 cf 00 6b c7 cf ;"ç5&ÈÇ.&Ïá—≈È….&∂d.N.ÇF’ÈÍ›&Åq.N.ÇF’ÈÍ›&Åq.N.ÇF’ÈÍ›&Åq.N.ÇJœÈÍ‹&ér.E.ÇDÀÈÁ≈&ÉlQÄ3ÇN∆¨.c`\¿».l¿»0b∆§R_ãÏ.'‰∆LHŒÉ#bãÏ.%Â«LJŒ.îM.wyâ%-ËÉ/&ÈÇ.&ÈÇ.&ÈÇ.&ÈÇ.&ÈÇ.&ÈÇ.&ÈÇ.&ÈÇ.&ÈÇ.&ÈÇ.&Èê<4œ§.. °..ƒ®..Ãß..Ãß.c–Ç∏ó◊.·óSGüù/2î„Y8ÎñSGûú,2î„A:Î˜0`«œ.k«œ";239;;COM7;;
65649;20/02/2026 20:34:08;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
65650;20/02/2026 20:34:08;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
65651;20/02/2026 20:34:08;IRP_MJ_WRITE;DOWN;;55 aa 5a f2 00 ;"U™ZÚ.";5;5;COM7;;
65652;20/02/2026 20:34:08;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a f2 00 ;"U™ZÚ.";5;;COM7;;
65653;20/02/2026 20:34:08;IRP_MJ_WRITE;DOWN;;6d 36 0e 7c 23 22 61 b6 2d 0e 79 26 dd 82 b6 66 0e 7c 7c c4 61 de de 0e 14 d0 22 09 45 2d 66 8f 23 4a 92 b6 45 fd 7c 4b d1 61 de de 0e 14 d0 22 09 45 2d 66 8f 23 4a 92 b6 45 fd 7c 47 cb 61 de df 0e 1b d3 22 02 5e 2d 64 91 23 47 8a b6 47 e0 03 85 f8 61 d6 cd 4b f5 fd 67 e8 68 c3 e0 92 cd cc 8f 6f cd e6 fe 98 ff c4 7c cd ab b6 c3 87 ab 56 88 c4 9c 86 e8 81 11 e6 ef d9 eb c2 5f cb e2 2f 2d b3 29 6a bd 2c 0f 7d 23 22 61 b6 2d 0e 7c 23 22 61 b6 2d 0e 7c 23 22 61 b6 2d 0e 7c 23 22 61 b6 2d 0e 7c 23 22 61 b6 2d 0e 7c 23 22 61 b6 2d 0e 7c 31 30 73 90 0b 28 5f 00 01 4c 9b 00 24 56 09 07 44 93 08 2b 59 0e 67 58 b6 bb bf 42 a7 ed d0 0c e8 bf c7 e5 92 db 73 9d b4 b9 93 98 a4 06 97 cb cc 99 e7 c9 0e e8 df a5 c1 cb 88 5f c4 e7 95 ;"m6.|#""a∂-.y&›Ç∂f.||ƒaﬁﬁ..–"".E-fè#Jí∂E˝|K—aﬁﬁ..–"".E-fè#Jí∂E˝|GÀaﬁﬂ..”"".^-dë#Gä∂G‡.Ö¯a÷ÕKı˝gËh√‡íÕÃèoÕÊ˛òˇƒ|Õ´∂√á´VàƒúÜËÅ.ÊÔŸÎ¬_À‚/-≥)jΩ,.}#""a∂-.|#""a∂-.|#""a∂-.|#""a∂-.|#""a∂-.|#""a∂-.|10sê.(_..Lõ.$V..Dì.+Y.gX∂ªøBßÌ–.Ëø«Âí€sù¥πìò§.óÀÃôÁ….Ëﬂ•¡Àà_ƒÁï";242;242;COM7;;
65654;20/02/2026 20:34:08;IRP_MJ_WRITE;UP;STATUS_SUCCESS;6d 36 0e 7c 23 22 61 b6 2d 0e 79 26 dd 82 b6 66 0e 7c 7c c4 61 de de 0e 14 d0 22 09 45 2d 66 8f 23 4a 92 b6 45 fd 7c 4b d1 61 de de 0e 14 d0 22 09 45 2d 66 8f 23 4a 92 b6 45 fd 7c 47 cb 61 de df 0e 1b d3 22 02 5e 2d 64 91 23 47 8a b6 47 e0 03 85 f8 61 d6 cd 4b f5 fd 67 e8 68 c3 e0 92 cd cc 8f 6f cd e6 fe 98 ff c4 7c cd ab b6 c3 87 ab 56 88 c4 9c 86 e8 81 11 e6 ef d9 eb c2 5f cb e2 2f 2d b3 29 6a bd 2c 0f 7d 23 22 61 b6 2d 0e 7c 23 22 61 b6 2d 0e 7c 23 22 61 b6 2d 0e 7c 23 22 61 b6 2d 0e 7c 23 22 61 b6 2d 0e 7c 23 22 61 b6 2d 0e 7c 31 30 73 90 0b 28 5f 00 01 4c 9b 00 24 56 09 07 44 93 08 2b 59 0e 67 58 b6 bb bf 42 a7 ed d0 0c e8 bf c7 e5 92 db 73 9d b4 b9 93 98 a4 06 97 cb cc 99 e7 c9 0e e8 df a5 c1 cb 88 5f c4 e7 95 ;"m6.|#""a∂-.y&›Ç∂f.||ƒaﬁﬁ..–"".E-fè#Jí∂E˝|K—aﬁﬁ..–"".E-fè#Jí∂E˝|GÀaﬁﬂ..”"".^-dë#Gä∂G‡.Ö¯a÷ÕKı˝gËh√‡íÕÃèoÕÊ˛òˇƒ|Õ´∂√á´VàƒúÜËÅ.ÊÔŸÎ¬_À‚/-≥)jΩ,.}#""a∂-.|#""a∂-.|#""a∂-.|#""a∂-.|#""a∂-.|#""a∂-.|10sê.(_..Lõ.$V..Dì.+Y.gX∂ªøBßÌ–.Ëø«Âí€sù¥πìò§.óÀÃôÁ….Ëﬂ•¡Àà_ƒÁï";242;;COM7;;
65655;20/02/2026 20:34:08;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
65656;20/02/2026 20:34:08;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
65657;20/02/2026 20:34:08;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
65658;20/02/2026 20:34:08;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
65659;20/02/2026 20:34:08;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
65660;20/02/2026 20:34:08;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
65661;20/02/2026 20:34:08;IRP_MJ_WRITE;DOWN;;55 aa 5a ee 00 ;"U™ZÓ.";5;5;COM7;;
65662;20/02/2026 20:34:08;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a ee 00 ;"U™ZÓ.";5;;COM7;;
65663;20/02/2026 20:34:08;IRP_MJ_WRITE;DOWN;;8d 32 02 26 4e 02 23 4b fd c5 4e 49 26 4e 5d c0 4e 6a d5 4e 6a d5 4e 6a d5 4e 6a d5 4e 6a d5 4e 6a d5 4e 6a d5 4e 6a d5 4e 6a d5 4e 6a d5 4e 6a d5 4e 6a d5 4e 6a d5 4e 66 cf 4e 6a d4 4e 65 d6 4e 61 ce 4e 68 cb 4e 67 cd 4e 68 c8 31 a4 fc 4e 62 c6 0b 8b f8 0b 8b f8 a0 ec c8 a0 ec c8 97 e2 ce cc b9 fb eb c8 c6 eb c8 c6 eb c8 c6 eb c8 c6 eb c8 c6 e9 c9 c7 eb ca c6 70 7f e9 6f 53 b6 45 09 2d 4f 03 27 4e 02 26 4e 02 26 4e 02 26 4e 02 26 4e 02 26 4e 02 26 4e 02 26 4e 02 26 4e 02 26 4e 02 26 4e 02 26 4e 02 26 4e 02 26 4e 02 26 5c 10 34 68 24 00 6d 21 05 63 2f 0b 64 28 0c 6b 27 03 6b 27 03 63 47 1f 4e 94 97 70 86 e9 ff b8 e3 ff b9 e0 fe b8 e3 fe b8 e3 fe b8 e3 fe b8 e3 fe b8 e3 e6 ba e3 9f db c4 a7 eb cf a7 eb cf ;"ç2.&N.#K˝≈NI&N]¿Nj’Nj’Nj’Nj’Nj’Nj’Nj’Nj’Nj’Nj’Nj’Nj’Nj’NfœNj‘Ne÷NaŒNhÀNgÕNh»1§¸Nb∆.ã¯.ã¯†Ï»†Ï»ó‚ŒÃπ˚Î»∆Î»∆Î»∆Î»∆Î»∆È…«Î ∆pÈoS∂E.-O.'N.&N.&N.&N.&N.&N.&N.&N.&N.&N.&N.&N.&N.&N.&\.4h$.m!.c/.d(.k'.k'.cG.NîópÜÈˇ∏„ˇπ‡˛∏„˛∏„˛∏„˛∏„˛∏„Ê∫„ü€ƒßÎœßÎœ";238;238;COM7;;
