#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
1859;25/02/2026 22:14:48;IRP_MJ_READ;UP;STATUS_TIMEOUT;;"";;;COM7;;
1860;25/02/2026 22:14:48;IRP_MJ_WRITE;DOWN;;55 aa 5a 0d 00 ;"U™Z..";5;5;COM7;;
1861;25/02/2026 22:14:48;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a 0d 00 ;"U™Z..";5;;COM7;;
1862;25/02/2026 22:14:48;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
1863;25/02/2026 22:14:48;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
1864;25/02/2026 22:14:48;IRP_MJ_WRITE;DOWN;;61 38 39 6d 2a 2b 49 71 b8 3c db 38 6d ;"a89m*+Iq∏<€8m";13;13;COM7;;
1865;25/02/2026 22:14:48;IRP_MJ_WRITE;UP;STATUS_SUCCESS;61 38 39 6d 2a 2b 49 71 b8 3c db 38 6d ;"a89m*+Iq∏<€8m";13;;COM7;;
1866;25/02/2026 22:14:48;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
1867;25/02/2026 22:14:48;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
1868;25/02/2026 22:14:48;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
1869;25/02/2026 22:14:48;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
1870;25/02/2026 22:14:48;IRP_MJ_READ;DOWN;;;"";;4096;COM7;;
1871;25/02/2026 22:14:48;IRP_MJ_READ;UP;STATUS_TIMEOUT;;"";;;COM7;;
1872;25/02/2026 22:14:48;IRP_MJ_WRITE;DOWN;;55 aa 5a 0d 00 ;"U™Z..";5;5;COM7;;
1873;25/02/2026 22:14:48;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a 0d 00 ;"U™Z..";5;;COM7;;
1874;25/02/2026 22:14:48;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
1875;25/02/2026 22:14:48;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
