#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
12178;25/02/2026 21:59:41;IRP_MJ_CREATE;DOWN;;;"C:\Program Files (x86)\Beelight\Beelight V3.0\Beelight.exe";;;COM7;;
12179;25/02/2026 21:59:41;IRP_MJ_CREATE;UP;STATUS_SUCCESS;;"C:\Program Files (x86)\Beelight\Beelight V3.0\Beelight.exe";;;COM7;;
12180;25/02/2026 21:59:41;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_PROPERTIES);DOWN;;;"";;;COM7;;
12181;25/02/2026 21:59:41;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_PROPERTIES);UP;STATUS_SUCCESS;40 00 02 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 06 00 00 00 cd 00 00 00 7f 00 00 00 70 6b 06 00 0c 00 01 1f 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"@...........................Õ......pk...........@..............";64;;COM7;;
12182;25/02/2026 21:59:41;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_MODEMSTATUS);DOWN;;;"";;;COM7;;
12183;25/02/2026 21:59:41;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_MODEMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 ;"....";4;;COM7;;
12184;25/02/2026 21:59:41;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);DOWN;;;"";;;COM7;;
12185;25/02/2026 21:59:41;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;20 a1 07 00 ;" °..";4;;COM7;;
12186;25/02/2026 21:59:41;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);DOWN;;;"";;;COM7;;
12187;25/02/2026 21:59:41;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;"...";3;;COM7;;
12188;25/02/2026 21:59:41;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);DOWN;;;"";;;COM7;;
12189;25/02/2026 21:59:41;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;1a 00 00 1a 11 13 ;"......";6;;COM7;;
12190;25/02/2026 21:59:41;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);DOWN;;;"";;;COM7;;
12191;25/02/2026 21:59:41;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 10 00 00 00 10 00 00 ;"................";16;;COM7;;
12192;25/02/2026 21:59:41;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);DOWN;;;"";;;COM7;;
