#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
56791;20/02/2026 19:11:59;IRP_MJ_WRITE;DOWN;;60 37 fd 73 af 7d 2b b2 fd 76 aa 82 c8 b2 b6 73 af 22 cd b2 95 80 af 15 d8 b2 95 80 af 15 d8 b2 95 80 af 15 d8 b2 95 80 af 15 d8 b2 95 80 af 15 d8 b2 95 80 af 15 d8 b2 95 80 af 1a c4 b2 94 9f af 1a db b2 9a 9b af 15 d9 b2 9c 91 e5 03 cd 74 54 cf 11 c7 fa 08 4b a2 6f c8 e0 5c 13 9d 41 93 c5 6b 1d 9b 2d c6 f6 17 37 93 0a b7 cb 17 37 93 0a b7 cb 17 37 93 08 b6 ca 17 35 93 91 00 e4 93 ac e3 a4 76 20 b3 fc 72 af 7d 2b b2 fd 73 af 7d 2b b2 fd 73 af 7d 2b b2 fd 73 af 7d 2b b2 fd 73 af 7d 2b b2 fd 73 af 7d 2b b2 fd 73 af 7d 2b b2 fd 73 bd 6f 39 94 db 55 8c 5e 08 9f d0 5e 85 57 01 97 d8 56 8a 58 0e 9f b8 4a af eb 9a 8c 79 bc 1e c7 ee 03 46 b5 1f c7 ee 02 47 b6 1f c7 ee 02 47 b6 1f c7 ee 1a 45 b6 7e a4 c9 5b 14 9a 46 94 c2 ;"`7ýs¯}+²ývª‚È²¶s¯""Í²•€¯.Ø²•€¯.Ø²•€¯.Ø²•€¯.Ø²•€¯.Ø²•€¯.Ø²•€¯.Ä²”Ÿ¯.Û²š›¯.Ù²œ‘å.ÍtTÏ.Çú.K¢oÈà\.A“Åk.›-Æö.7“.·Ë.7“.·Ë.7“.¶Ê.5“‘.ä“¬ã¤v ³ür¯}+²ýs¯}+²ýs¯}+²ýs¯}+²ýs¯}+²ýs¯}+²ýs¯}+²ýs½o9”ÛUŒ^.ŸÐ^…W.—ØVŠX.Ÿ¸J¯ëšŒy¼.Çî.Fµ.Çî.G¶.Çî.G¶.Çî.E¶~¤É[.šF”Â";241;241;COM7;;
56792;20/02/2026 19:11:59;IRP_MJ_WRITE;UP;STATUS_SUCCESS;60 37 fd 73 af 7d 2b b2 fd 76 aa 82 c8 b2 b6 73 af 22 cd b2 95 80 af 15 d8 b2 95 80 af 15 d8 b2 95 80 af 15 d8 b2 95 80 af 15 d8 b2 95 80 af 15 d8 b2 95 80 af 15 d8 b2 95 80 af 1a c4 b2 94 9f af 1a db b2 9a 9b af 15 d9 b2 9c 91 e5 03 cd 74 54 cf 11 c7 fa 08 4b a2 6f c8 e0 5c 13 9d 41 93 c5 6b 1d 9b 2d c6 f6 17 37 93 0a b7 cb 17 37 93 0a b7 cb 17 37 93 08 b6 ca 17 35 93 91 00 e4 93 ac e3 a4 76 20 b3 fc 72 af 7d 2b b2 fd 73 af 7d 2b b2 fd 73 af 7d 2b b2 fd 73 af 7d 2b b2 fd 73 af 7d 2b b2 fd 73 af 7d 2b b2 fd 73 af 7d 2b b2 fd 73 bd 6f 39 94 db 55 8c 5e 08 9f d0 5e 85 57 01 97 d8 56 8a 58 0e 9f b8 4a af eb 9a 8c 79 bc 1e c7 ee 03 46 b5 1f c7 ee 02 47 b6 1f c7 ee 02 47 b6 1f c7 ee 1a 45 b6 7e a4 c9 5b 14 9a 46 94 c2 ;"`7ýs¯}+²ývª‚È²¶s¯""Í²•€¯.Ø²•€¯.Ø²•€¯.Ø²•€¯.Ø²•€¯.Ø²•€¯.Ø²•€¯.Ä²”Ÿ¯.Û²š›¯.Ù²œ‘å.ÍtTÏ.Çú.K¢oÈà\.A“Åk.›-Æö.7“.·Ë.7“.·Ë.7“.¶Ê.5“‘.ä“¬ã¤v ³ür¯}+²ýs¯}+²ýs¯}+²ýs¯}+²ýs¯}+²ýs¯}+²ýs¯}+²ýs½o9”ÛUŒ^.ŸÐ^…W.—ØVŠX.Ÿ¸J¯ëšŒy¼.Çî.Fµ.Çî.G¶.Çî.G¶.Çî.E¶~¤É[.šF”Â";241;;COM7;;
56793;20/02/2026 19:11:59;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
56794;20/02/2026 19:11:59;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
56795;20/02/2026 19:11:59;IRP_MJ_WRITE;DOWN;;55 aa 5a f4 00 ;"UªZô.";5;5;COM7;;
56796;20/02/2026 19:11:59;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a f4 00 ;"UªZô.";5;;COM7;;
56797;20/02/2026 19:11:59;IRP_MJ_WRITE;DOWN;;2f 38 b3 70 34 a8 7a 72 bf a2 56 b3 75 31 57 99 72 f4 a2 56 ec 96 34 c0 89 72 d7 51 56 db 83 34 c0 89 72 d7 51 56 db 83 34 c0 89 72 d7 51 56 db 83 34 c0 89 72 d7 51 56 db 83 34 c0 89 72 d8 4d 56 da 9c 34 cf 8a 72 d8 4a 56 db 82 34 c9 98 38 c1 44 90 1a cc 8a 12 ab c8 09 73 96 06 bb da 46 94 9c 51 4c 8f 53 98 b6 13 a7 d7 75 42 f3 79 90 91 62 9a d7 75 42 f3 79 90 93 63 9b d7 77 42 68 ce bf 15 f9 ea 79 b4 a9 57 b2 71 34 a8 7a 72 bf a2 56 b3 70 34 a8 7a 72 bf a2 56 b3 70 34 a8 7a 72 bf a2 56 b3 70 34 a8 7a 72 bf a2 56 b3 70 34 a8 7a 72 bf a2 44 a1 62 12 8e 5c 51 9c 81 7b 9e 5d 1e 82 50 57 9a 87 73 96 55 19 ed 43 72 29 13 68 37 bf 85 12 bf c3 04 64 e6 09 b5 84 12 bf c2 05 67 e6 09 b5 84 12 bf da 07 67 87 6a 92 dd 41 93 9b 56 4b ;"/8³p4¨zr¿¢V³u1W™rô¢Vì–4À‰r×QVÛƒ4À‰r×QVÛƒ4À‰r×QVÛƒ4À‰r×QVÛƒ4À‰rØMVÚœ4ÏŠrØJVÛ‚4É˜8ÁD.ÌŠ.«È.s–.»ÚF”œQLS˜¶.§×uBóy‘bš×uBóy“c›×wBhÎ¿.ùêy´©W²q4¨zr¿¢V³p4¨zr¿¢V³p4¨zr¿¢V³p4¨zr¿¢V³p4¨zr¿¢D¡b.Ž\Qœ{ž].‚PWš‡s–U.íCr).h7¿….¿Ã.dæ.µ„.¿Â.gæ.µ„.¿Ú.g‡j’ÝA“›VK";244;244;COM7;;
56798;20/02/2026 19:11:59;IRP_MJ_WRITE;UP;STATUS_SUCCESS;2f 38 b3 70 34 a8 7a 72 bf a2 56 b3 75 31 57 99 72 f4 a2 56 ec 96 34 c0 89 72 d7 51 56 db 83 34 c0 89 72 d7 51 56 db 83 34 c0 89 72 d7 51 56 db 83 34 c0 89 72 d7 51 56 db 83 34 c0 89 72 d8 4d 56 da 9c 34 cf 8a 72 d8 4a 56 db 82 34 c9 98 38 c1 44 90 1a cc 8a 12 ab c8 09 73 96 06 bb da 46 94 9c 51 4c 8f 53 98 b6 13 a7 d7 75 42 f3 79 90 91 62 9a d7 75 42 f3 79 90 93 63 9b d7 77 42 68 ce bf 15 f9 ea 79 b4 a9 57 b2 71 34 a8 7a 72 bf a2 56 b3 70 34 a8 7a 72 bf a2 56 b3 70 34 a8 7a 72 bf a2 56 b3 70 34 a8 7a 72 bf a2 56 b3 70 34 a8 7a 72 bf a2 44 a1 62 12 8e 5c 51 9c 81 7b 9e 5d 1e 82 50 57 9a 87 73 96 55 19 ed 43 72 29 13 68 37 bf 85 12 bf c3 04 64 e6 09 b5 84 12 bf c2 05 67 e6 09 b5 84 12 bf da 07 67 87 6a 92 dd 41 93 9b 56 4b ;"/8³p4¨zr¿¢V³u1W™rô¢Vì–4À‰r×QVÛƒ4À‰r×QVÛƒ4À‰r×QVÛƒ4À‰r×QVÛƒ4À‰rØMVÚœ4ÏŠrØJVÛ‚4É˜8ÁD.ÌŠ.«È.s–.»ÚF”œQLS˜¶.§×uBóy‘bš×uBóy“c›×wBhÎ¿.ùêy´©W²q4¨zr¿¢V³p4¨zr¿¢V³p4¨zr¿¢V³p4¨zr¿¢V³p4¨zr¿¢D¡b.Ž\Qœ{ž].‚PWš‡s–U.íCr).h7¿….¿Ã.dæ.µ„.¿Â.gæ.µ„.¿Ú.g‡j’ÝA“›VK";244;;COM7;;
56799;20/02/2026 19:11:59;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
56800;20/02/2026 19:11:59;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM7;;
